Student_id,Course_id,Grade
112201001,1,A
112201001,2,D
112201001,3,B
112201001,4,A
112201001,5,B
112201001,6,A
112201001,7,A
112201001,8,F
112201001,9,B
112201001,10,S
112201001,11,C
112201001,12,A
112201001,13,A
112201001,14,B
112201001,15,A
112201001,16,B
112201001,17,A
112201001,18,B
112201001,19,B
112201001,20,A
112201001,21,A
112201001,22,B
112201001,23,S
112201001,24,A
112201001,25,F
112201001,26,D
112201001,27,B
112201001,28,S
112201001,29,B
112201001,30,A
112201001,191,S
112201001,192,B
112201001,193,A
112201001,194,S
112201001,121,B
112201001,122,A
112201002,1,A
112201002,2,A
112201002,3,C
112201002,4,B
112201002,5,C
112201002,6,A
112201002,7,B
112201002,8,A
112201002,9,B
112201002,10,A
112201002,11,S
112201002,12,S
112201002,13,S
112201002,14,S
112201002,15,B
112201002,16,B
112201002,17,B
112201002,18,A
112201002,19,A
112201002,20,S
112201002,21,B
112201002,22,D
112201002,23,S
112201002,24,B
112201002,25,B
112201002,26,S
112201002,27,A
112201002,28,C
112201002,29,B
112201002,30,B
112201002,191,A
112201002,192,B
112201002,193,A
112201002,194,A
112201002,121,B
112201002,122,B
112201003,1,S
112201003,2,B
112201003,3,A
112201003,4,A
112201003,5,B
112201003,6,B
112201003,7,A
112201003,8,A
112201003,9,A
112201003,10,A
112201003,11,I
112201003,12,B
112201003,13,A
112201003,14,A
112201003,15,A
112201003,16,B
112201003,17,C
112201003,18,B
112201003,19,B
112201003,20,A
112201003,21,B
112201003,22,C
112201003,23,C
112201003,24,B
112201003,25,A
112201003,26,B
112201003,27,B
112201003,28,E
112201003,29,S
112201003,30,S
112201003,191,I
112201003,192,B
112201003,193,B
112201003,194,A
112201003,121,A
112201003,122,A
112201004,1,B
112201004,2,B
112201004,3,S
112201004,4,E
112201004,5,A
112201004,6,B
112201004,7,S
112201004,8,A
112201004,9,B
112201004,10,A
112201004,11,E
112201004,12,B
112201004,13,B
112201004,14,A
112201004,15,B
